央视频道[V4],#genre#
CCTV-1综合,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV-2财经,http://121.18.43.254:10000/hls/2/index.m3u8
CCTV-3综艺,http://121.18.43.254:10000/hls/3/index.m3u8
CCTV-4中文国际,http://121.24.98.226:8090/hls/12/index.m3u8
CCTV-5体育,http://121.18.43.254:10000/hls/5/index.m3u8
CCTV-5+体育赛事,http://121.18.43.254:10000/hls/17/index.m3u8
CCTV-6电影,http://121.18.43.254:10000/hls/6/index.m3u8
CCTV-7国防军事,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV-8电视剧,http://121.24.98.226:8090/hls/16/index.m3u8
CCTV-9纪录,http://117.161.12.124/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV-10科教,http://121.18.43.254:10000/hls/10/index.m3u8
CCTV-11戏曲,http://111.61.236.247:9081/hls/11/index.m3u8
CCTV-12社会与法,http://121.18.43.254:10000/hls/12/index.m3u8
CCTV-13新闻,http://121.18.43.254:10000/hls/13/index.m3u8
CCTV-14少儿,http://121.18.43.254:10000/hls/14/index.m3u8
CCTV-15音乐,http://117.161.12.124/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV-17农业农村,http://117.161.12.124/live/program/live/cctv17hd8m/8000000/mnf.m3u8

卫视频道[V4],#genre#
北京卫视,http://117.161.12.124/live/program/live/bjwshd8m/8000000/mnf.m3u8
东方卫视,http://121.18.43.254:10000/hls/24/index.m3u8
天津卫视,http://121.18.43.254:10000/hls/25/index.m3u8
重庆卫视,http://121.18.43.254:10000/hls/34/index.m3u8
黑龙江卫视,http://121.18.43.254:10000/hls/29/index.m3u8
吉林卫视,http://121.18.43.254:10000/hls/41/index.m3u8
辽宁卫视,http://121.18.43.254:10000/hls/30/index.m3u8
内蒙古卫视,http://121.18.43.254:10000/hls/56/index.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
甘肃卫视,http://111.61.236.247:9081/hls/54/index.m3u8
青海卫视,http://121.18.43.254:10000/hls/57/index.m3u8
陕西卫视,http://121.18.43.254:10000/hls/54/index.m3u8
河北卫视,http://121.24.98.226:8090/hls/25/index.m3u8
山西卫视,http://121.24.98.226:8090/hls/35/index.m3u8
山东卫视,http://121.18.43.254:10000/hls/27/index.m3u8
安徽卫视,http://121.24.98.226:8090/hls/81/index.m3u8
河南卫视,http://121.18.43.254:10000/hls/35/index.m3u8
湖北卫视,http://121.18.43.254:10000/hls/32/index.m3u8
湖南卫视,http://121.18.43.254:10000/hls/19/index.m3u8
江西卫视,http://121.18.43.254:10000/hls/40/index.m3u8
江苏卫视,http://121.18.43.254:10000/hls/21/index.m3u8
浙江卫视,http://121.18.43.254:10000/hls/20/index.m3u8
东南卫视,http://121.24.98.226:8090/hls/36/index.m3u8
厦门卫视,http://117.161.12.124/live/program/live/xmws/1300000/mnf.m3u8
广东卫视,http://121.18.43.254:10000/hls/28/index.m3u8
深圳卫视,http://121.18.43.254:10000/hls/26/index.m3u8
广西卫视,http://121.18.43.254:10000/hls/53/index.m3u8
云南卫视,http://117.161.12.124/live/program/live/ynwshd8m/8000000/mnf.m3u8
贵州卫视,http://121.18.43.254:10000/hls/39/index.m3u8
四川卫视,http://121.18.43.254:10000/hls/33/index.m3u8
新疆卫视,http://121.24.98.226:8090/hls/61/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=d423baa6f051a32ced725e7f7b8431c9&time=66d688c2
海南卫视,http://117.161.12.124/live/program/live/hainanwshd8m/8000000/mnf.m3u8
三沙卫视,https://live2.hnntv.cn/srs/tv/ssws.m3u8?_upt=4fd7a5cd1725342602
CETV频道[V4],#genre#
江苏频道[V4],#genre#
苏州新闻综合频道,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济频道,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活频道,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯频道,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
常州新闻综合频道,https://livekcz.cztv.tv/kcz/cztv1.m3u8?auth_key=1725341398-0-0-6e24ce5facecdd879a91e4345e488ef5
常州都市频道,https://livekcz.cztv.tv/kcz/cztv2.m3u8?auth_key=1725344399-0-0-f63128a11f96a92948940226c3604712
常州公共频道,https://livekcz.cztv.tv/kcz/cztv4.m3u8?auth_key=1725341400-0-0-8417402a4ddba0f7ef646488942fe651
连云港公共频道,http://live.lyg1.com/ggpd/sd/live.m3u8
赣榆新闻综合频道,http://ganyu-tv-hls.cm.jstv.com/ganyu-tv/ganyutv.m3u8
沛县新闻综合频道,http://peixian-tv-hls.cm.jstv.com/peixian-tv/pxzh.m3u8
睢宁综合频道,http://suining-tv-hls.cm.jstv.com:80/suining-tv/suiningzh.m3u8
睢宁生活教育频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsh.m3u8
睢宁三农频道,http://suining-tv-hls.cm.jstv.com/suining-tv/suiningsn.m3u8
南通电视台一套,https://nt-hls.ntjoy.com/live/4f1.m3u8?t=1725335602&k=c28f6ea42067f840291213886c085792
南通二套社教频道,https://nt-hls.ntjoy.com/live/4f3.m3u8?t=1725336255&k=feb47151e5bd6b4edf7db7a0029b03a6
南通三套公共频道,https://nt-hls.ntjoy.com/live/4f5.m3u8?t=1725336255&k=5856f9bd4657403d4894000fab744fc5
如东一套新闻综合频道,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
海安新闻综合频道,http://haian-tv-hls.cm.jstv.com/haian-tv/haaxwzh.m3u8
泗洪新闻综合频道,http://sihong-tv-hls.cm.jstv.com/sihong-tv/sihongxinwenzonghe.m3u8
沭阳综合频道,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
泗阳综合频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzh.m3u8
泗阳资讯频道,http://siyang-tv-hls.cm.jstv.com/siyang-tv/siyangzx.m3u8
淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8
涟水电视台综合频道,http://lianshui-tv-hls.cm.jstv.com/lianshui-tv/lsxw.m3u8
泰州一套新闻综合频道,http://stream1.mytaizhou.net/xwzh/playlist.m3u8?_upt=2f3c2e461725409415
泰州二套经济生活频道,http://stream1.mytaizhou.net/jjsh/playlist.m3u8?_upt=432935711725402444
泰州三套影视娱乐频道,http://stream1.mytaizhou.net/ysyl/playlist.m3u8?_upt=16dfe82d1725409426
姜堰新闻综合频道,https://jiangyan-tv-hls.cm.jstv.com/jiangyan-tv/jiangyanzh.m3u8
扬州新闻频道,http://cm-wshls.homecdn.com/live/8bb.m3u8
扬州城市频道,http://cm-wshls.homecdn.com/live/8bd.m3u8
扬州生活频道,http://cm-wshls.homecdn.com/live/8bf.m3u8
扬州邗江频道,http://cm-wshls.homecdn.com/live/8c3.m3u8
高邮一套新闻综合频道,http://gaoyou-tv-hls.cm.jstv.com/gaoyou-tv/gaoyouxw.m3u8
镇江新闻综合频道,http://cm-wshls.homecdn.com/live/2aa50.m3u8
镇江二套社会民生频道,http://zjtv-wshls.homecdn.com/live/2aa16.m3u8
安徽频道[V4],#genre#
安徽影视频道,http://112.30.194.221:20080/live/d18ff95cb1fb4bbcb56215e189fc12be/hls.m3u8
安徽经济生活频道,http://112.30.194.221:20080/live/eac499adad7b49ff9cfa79ba84693959/hls.m3u8
安徽综艺体育频道,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
